col_name_numeric,col_name_text,question_text,question_type,question_options_numeric,question_options_text
bus_fut_chl_numeric_lack_of_workers,bus_fut_chl_text_lack_of_workers,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Lack of workers"
bus_fut_chl_numeric_logistics_e_g_shipping_delivering_services_or_goods,bus_fut_chl_text_logistics_e_g_shipping_delivering_services_or_goods,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,1,0","NA,Logistics (e.g. shipping, delivering services or goods)"
bus_fut_chl_numeric_no_challenges,bus_fut_chl_text_no_challenges,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,No challenges"
bus_fut_chl_numeric_other_please_specify,bus_fut_chl_text_other_please_specify,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Other"
bus_fut_chl_numeric_surplus_office_commercial_space,bus_fut_chl_text_surplus_office_commercial_space,What do you expect this business’ challenges to be in the next few months? (Select all that apply),checkbox,"NA,0,1","NA,Surplus office/commercial space"
bus_rol_numeric,bus_rol_text,Which of these best describes your main employment situation?,radio,"7,NA,3,1,6,4,2,5","Unemployed or not working,NA,Employed in a business,Other,Manage a business,Both own and manage a business,Work for the government,Own a business"
bus_sls_dif_numeric,bus_sls_dif_text,How have your business's sales for the last 30 days changed when compared with the same month last year?,radio,"NA,1,5,3,4,2","NA,Higher than last year,Don‚Äôt know,Lower than last year,Same as last year,This business was not in operation last year"
bus_sls_hig_numeric,bus_sls_hig_text,"Compared to this same month last year, how much higher were your sales?",radio,"NA,6,5,10,4,7,2,1,3,9,8,11","NA,Between 50 and 60%,Between 60 and 70%,Between 10 and 20%,Between 70 and 80%,Between 40 and 50%,Between 90 and 100%,100% or more (meaning double the sales or more),Between 80 and 90%,Between 20 and 30%,Between 30 and 40%,Between 0 and 10%"
bus_sls_low_numeric,bus_sls_low_text,"Compared to this same month last year, how much lower were your sales?",radio,"NA,10,1,9,8,11,5,4,7,6,2,3","NA,Between 10 and 20%,100% (meaning zero sales),Between 20 and 30%,Between 30 and 40%,Between 0 and 10%,Between 60 and 70%,Between 70 and 80%,Between 40 and 50%,Between 50 and 60%,Between 90 and 100%,Between 80 and 90%"
bus_srv_numeric,bus_srv_text,How much longer could this business continue to operate under current conditions?,radio,"NA,3,4,2,1","NA,12 months or more,Not sure,At least 6 months but less than 12 months,Less than 6 months"
chl_fin_numeric_bills_or_accounts_payable,chl_fin_text_bills_or_accounts_payable,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,0,1","NA,Bills or accounts payable,Taxes"
chl_fin_numeric_debt_or_loans,chl_fin_text_debt_or_loans,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,0,1","NA,Debt or loans,Rent or lease"
chl_fin_numeric_none_of_the_above,chl_fin_text_none_of_the_above,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,1,0","NA,None of the above"
chl_fin_numeric_rent_or_lease,chl_fin_text_rent_or_lease,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,0,1","NA,Rent or lease,Debt or loans"
chl_fin_numeric_taxes,chl_fin_text_taxes,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,0,1","NA,Taxes,Bills or accounts payable"
chl_fin_numeric_worker_salaries_wages_and_benefits,chl_fin_text_worker_salaries_wages_and_benefits,Is this business currently struggling to pay any of the following? (Select all that apply),checkbox,"NA,0,1","NA,Worker salaries, wages, and benefits"
country,country,NA,NA,"(,)","(,)"
country_lower,country_lower,NA,NA,"(,)","(,)"
dem_age_numeric,dem_age_text,How old are you?,,"NA,29,59,39,49,69,19,79","NA,20 to 29,50 to 59,30 to 39,40 to 49,60 to 69,Less than 20,70 or older"
dgt_use_numeric_advertising,dgt_use_text_advertising,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,1,0","NA,Advertising"
dgt_use_numeric_analyzing_or_researching_to_answer_business_questions,dgt_use_text_analyzing_or_researching_to_answer_business_questions,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,0,1","NA,Analyzing or researching to answer business questions"
dgt_use_numeric_communicating_directly_with_customers,dgt_use_text_communicating_directly_with_customers,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,1,0","NA,Communicating directly with customers"
dgt_use_numeric_complying_with_legal_and_regulatory_requirements,dgt_use_text_complying_with_legal_and_regulatory_requirements,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,0,1","NA,Complying with legal and regulatory requirements"
dgt_use_numeric_coordinating_or_collaborating_between_employees,dgt_use_text_coordinating_or_collaborating_between_employees,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,1,0","NA,Coordinating or collaborating between employees"
dgt_use_numeric_hiring,dgt_use_text_hiring,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,0,1","NA,Hiring"
dgt_use_numeric_implementing_digital_security_and_consumer_protection_features,dgt_use_text_implementing_digital_security_and_consumer_protection_features,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,0,1","NA,Implementing digital security and consumer protection features"
dgt_use_numeric_none_of_the_above,dgt_use_text_none_of_the_above,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,0,1","NA,None of the above"
dgt_use_numeric_selling_goods_and_services,dgt_use_text_selling_goods_and_services,"In the past 30 days, which of these (if any) has this business used digital tools for?",checkbox,"NA,1,0","NA,Selling goods and services"
dig_use_numeric_access_to_digital_solutions_and_business_intelligence_services,dig_use_text_access_to_digital_solutions_and_business_intelligence_services,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,0,1","NA,Access to digital solutions and business intelligence services"
dig_use_numeric_increase_in_customer_or_supplier_base,dig_use_text_increase_in_customer_or_supplier_base,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,1,0","NA,Increase in customer or supplier base,Increase in employment"
dig_use_numeric_increase_in_employment,dig_use_text_increase_in_employment,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,0,1","NA,Increase in employment,Increase in customer or supplier base"
dig_use_numeric_increase_in_sales,dig_use_text_increase_in_sales,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,1,0","NA,Increase in sales,No impact"
dig_use_numeric_lower_operation_costs_or_costs_of_sourcing_goods_and_services,dig_use_text_lower_operation_costs_or_costs_of_sourcing_goods_and_services,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,0,1","NA,Lower operation costs or costs of sourcing goods and services,Something not listed here"
dig_use_numeric_no_impact,dig_use_text_no_impact,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,0,1","NA,No impact,Increase in sales"
dig_use_numeric_something_not_listed_here,dig_use_text_something_not_listed_here,How has this business been impacted by its use of digital tools? (Select all that apply),checkbox,"NA,0,1","NA,Something not listed here,Lower operation costs or costs of sourcing goods and services"
hol_rev_numeric,hol_rev_text,How much of this business's annual revenue do you expect to be made between October 1st and December 31st of this year?,radio,"NA,3,1,2,4,6,5","NA,Between 25 and 50%,None,Between 0 and 25%,Between 50 and 75%,All,Between 75 and 100%"
ind_hcr_numeric,ind_hcr_text,In which economic sub-sector does this business operate?,radio,"NA,2,3,1","NA,Food and beverage services,Accommodation,Other"
ind_icm_numeric,ind_icm_text,In which economic sector does this business operate?,radio,"NA,3,4,2,5,7,6,1","NA,Computer programming or consultancy,Telecommuncations,Information services,Broadcasting,Publishing,Motion picture and TV production, sound recording, music publishing,Other"
ind_mfg_numeric,ind_mfg_text,In which economic sub-sector does this business operate?,radio,"NA,3,4,2,6,8,11,9,7,10,5","NA,Water supply and waste management,Energy production,Other,Metal products,Chemicals and pharmaceuticals,Food, beverages, and tobacco,Paper industry, printing, and reproduction of recorded media,Rubber, plastics, and other non-metallic mineral products,Textiles and apparel,Manufacturing of transportation equipment"
ind_oth_numeric,ind_oth_text,In which economic sub-sector does this business operate?,radio,"NA,1,7,4,5,9,8,3,6,2","NA,Other,Professional, scientific, and technical services,Human health and social work activities,Education,Financial and insurance activities,Real estate activities,Arts, entertainment, and recreation,Administrative and support services (e.g. rental and leasing, travel agencies, human resources, security),Personal services (e.g. repair of household goods, washing of textiles, hairdressing)"
ind_top_numeric,ind_top_text,In which economic sub-sector does this business operate?,radio,"NA,8,5,1,7,2,3,6,4","NA,Agriculture, forestry, fishing and mining,Wholesale and retail trade,Other services,Manufacturing, energy, water supply and waste management,Information and communication,Hotels, cafes and restaurants,Construction,Transportation and storage"
ind_trd_numeric,ind_trd_text,In which economic sub-sector does this business operate?,radio,"NA,2,3,1","NA,Retail trade,Wholesale trade,Other"
ind_trn_numeric,ind_trn_text,In which economic sub-sector does this business operate?,radio,"NA,1,5,2,3,4","NA,Other,Land transportation,Warehousing and support activities for transportation,Air transportation,Water transportation"
sex_numeric,sex_text,What is your gender?,radio,"NA,3,2","NA,Male,Female"
trd_cst_amt_numeric,trd_cst_amt_text,By what amount have the costs of operating your business increased?,radio,"NA,4,6,9,1,5,7,8,3,10,2","NA,Between 50 and 75%,Between 20 and 25%,Between 5 and 10%,Don't know,Between 25 and 50%,Between 15 and 20%,Between 10 and 15%,Between 75 and 100%,Between 0 and 5%,100% or more (meaning double the costs or more)"
trd_cst_inc_numeric,trd_cst_inc_text,Have the costs of your business's inputs or labor increased in the past 6 months?,radio,"NA,1,3,2","NA,Yes,Don't know,No"
trd_exp_act_numeric,trd_exp_act_text,Has your company sold any goods or services to customers in other countries in the last 5 years?,radio,"NA,1,2,3","NA,Yes,No,Don't know"
trd_exp_hlp_numeric_clearer_government_guidance,trd_exp_hlp_text_clearer_government_guidance,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Clearer government guidance,Lower duties or tariffs"
trd_exp_hlp_numeric_contacts_in_other_markets,trd_exp_hlp_text_contacts_in_other_markets,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Contacts in other markets,Legal advice/assistance"
trd_exp_hlp_numeric_digital_tools,trd_exp_hlp_text_digital_tools,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Digital tools,More information on your industry and or products and services in other markets"
trd_exp_hlp_numeric_don_t_know,trd_exp_hlp_text_don_t_know,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,0,1,Don't know","NA,Don't know,1,0"
trd_exp_hlp_numeric_financial_assistance,trd_exp_hlp_text_financial_assistance,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Financial assistance"
trd_exp_hlp_numeric_improved_infrastructure,trd_exp_hlp_text_improved_infrastructure,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Improved infrastructure,Transportation that is lower cost or more reliable"
trd_exp_hlp_numeric_legal_advice_assistance,trd_exp_hlp_text_legal_advice_assistance,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Legal advice/assistance,Contacts in other markets"
trd_exp_hlp_numeric_lower_duties_or_tariffs,trd_exp_hlp_text_lower_duties_or_tariffs,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Lower duties or tariffs,Clearer government guidance"
trd_exp_hlp_numeric_more_information_on_your_industry_and_or_products_and_services_in_other_markets,trd_exp_hlp_text_more_information_on_your_industry_and_or_products_and_services_in_other_markets,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,More information on your industry and or products and services in other markets,Digital tools"
trd_exp_hlp_numeric_none_of_the_above,trd_exp_hlp_text_none_of_the_above,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,0,1","NA,None of the above"
trd_exp_hlp_numeric_skills_training_including_language_training,trd_exp_hlp_text_skills_training_including_language_training,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Skills training, including language training"
trd_exp_hlp_numeric_transportation_that_is_lower_cost_or_more_reliable,trd_exp_hlp_text_transportation_that_is_lower_cost_or_more_reliable,"If you wanted to grow the sales of your goods and services in other countries, which of the following would be helpful? [select all that apply]",checkbox,"NA,1,0","NA,Transportation that is lower cost or more reliable,Improved infrastructure"
trd_exp_pln_numeric,trd_exp_pln_text,What are your company's plan for selling goods or services in other countries in the next 6 months?,radio,"NA,1,7,4,3,6,5,2","NA,We currently sell in other countries and will continue,Don't know,We are interested, but need more information on how to do so,We are interested, but have no plans to do so,We have no interest in selling in other countries,We will begin selling in other countries,We currently sell in other countries, but plan to stop"
trd_exp_res_numeric_business_leaders_with_family_relationships_in_other_countries,trd_exp_res_text_business_leaders_with_family_relationships_in_other_countries,Does your business have any of the following?,checkbox,"NA,1,0","NA,Business leaders with family relationships in other countries"
trd_exp_res_numeric_business_leaders_with_mentors_who_have_worked_in_other_countries,trd_exp_res_text_business_leaders_with_mentors_who_have_worked_in_other_countries,Does your business have any of the following?,checkbox,"NA,1,0","NA,Business leaders with mentors who have worked in other countries,Staff who have experience with regulations in other countries"
trd_exp_res_numeric_don_t_know,trd_exp_res_text_don_t_know,Does your business have any of the following?,checkbox,"NA,0,1","NA,Don't know"
trd_exp_res_numeric_none_of_the_above,trd_exp_res_text_none_of_the_above,Does your business have any of the following?,checkbox,"NA,0,1","NA,None of the above"
trd_exp_res_numeric_staff_who_have_experience_doing_business_in_other_countries,trd_exp_res_text_staff_who_have_experience_doing_business_in_other_countries,Does your business have any of the following?,checkbox,"NA,1,0","NA,Staff who have experience doing business in other countries"
trd_exp_res_numeric_staff_who_have_experience_with_regulations_in_other_countries,trd_exp_res_text_staff_who_have_experience_with_regulations_in_other_countries,Does your business have any of the following?,checkbox,"NA,1,0","NA,Staff who have experience with regulations in other countries,Business leaders with mentors who have worked in other countries"
trd_exp_res_numeric_staff_who_were_born_in_or_are_a_citizen_of_another_country,trd_exp_res_text_staff_who_were_born_in_or_are_a_citizen_of_another_country,Does your business have any of the following?,checkbox,"NA,1,0","NA,Staff who were born in or are a citizen of another country"
trd_iss_numeric_discontinued_lines_of_sale,trd_iss_text_discontinued_lines_of_sale,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Discontinued lines of sale,Increase in customer demand"
trd_iss_numeric_don_t_know,trd_iss_text_don_t_know,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Don't know"
trd_iss_numeric_government_export_restrictions,trd_iss_text_government_export_restrictions,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Government export restrictions,Raw materials and inputs have become more expensive"
trd_iss_numeric_increase_in_customer_demand,trd_iss_text_increase_in_customer_demand,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Increase in customer demand,Discontinued lines of sale"
trd_iss_numeric_labor_has_become_more_expensive,trd_iss_text_labor_has_become_more_expensive,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Labor has become more expensive"
trd_iss_numeric_raw_materials_and_inputs_have_become_more_expensive,trd_iss_text_raw_materials_and_inputs_have_become_more_expensive,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,1,0","NA,Raw materials and inputs have become more expensive,Government export restrictions"
trd_iss_numeric_regulatory_and_legal_compliance_costs_have_become_more_expensive,trd_iss_text_regulatory_and_legal_compliance_costs_have_become_more_expensive,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,1,0","NA,Regulatory and legal compliance costs have become more expensive"
trd_iss_numeric_shortage_of_workers,trd_iss_text_shortage_of_workers,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,0,1","NA,Shortage of workers,Transportation costs have become more expensive"
trd_iss_numeric_transportation_costs_have_become_more_expensive,trd_iss_text_transportation_costs_have_become_more_expensive,Has your business experienced any of the following in the past 6 months?,checkbox,"NA,1,0","NA,Transportation costs have become more expensive,Shortage of workers"
trd_prc_amt_numeric,trd_prc_amt_text,By approximately how much have you raised the prices of your goods and or services in the past 6 months?,radio,"NA,8,1,5,9,7,10,4,6,2,3","NA,Between 10 and 15%,Don't know,Between 25 and 50%,Between 5 and 10%,Between 15 and 20%,Between 0 and 5%,Between 50 and 75%,Between 20 and 25%,100% or more (meaning double the costs or more),Between 75 and 100%"
trd_prc_exp_numeric,trd_prc_exp_text,How do you think the costs of operating your business will change in the next 12 months?,radio,"NA,7,1,4,9,2,8,5,6,3","NA,Will increase between 25 to 50%,Will decrease,Will increase between 5 to 10%,Don't know,Will increase between 0 to 2.5%,Will increase by more than 50%,Will increase between 10 to 15%,Will increase between 15 to 25%,Will increase between 2.5 to 5.0%"
trd_prc_inc_numeric,trd_prc_inc_text,Has your business increased the prices of your goods or services in the past 6 months?,radio,"NA,1,2,3","NA,Yes,No,Don't know"
trd_prc_pln_numeric_don_t_know,trd_prc_pln_text_don_t_know,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Don't know"
trd_prc_pln_numeric_increased_costs_have_created_a_need_for_us_to_sell_in_other_countries,trd_prc_pln_text_increased_costs_have_created_a_need_for_us_to_sell_in_other_countries,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased costs have created a need for us to sell in other countries,Increased prices have not effect our plans"
trd_prc_pln_numeric_increased_costs_have_created_a_need_for_us_to_sell_more_in_our_domestic_market,trd_prc_pln_text_increased_costs_have_created_a_need_for_us_to_sell_more_in_our_domestic_market,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased costs have created a need for us to sell more in our domestic market,Increased prices have prevented us from launching a new product or service"
trd_prc_pln_numeric_increased_costs_have_forced_us_to_find_new_suppliers,trd_prc_pln_text_increased_costs_have_forced_us_to_find_new_suppliers,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,1,0","NA,Increased costs have forced us to find new suppliers,Increased prices have forced us to find new customers"
trd_prc_pln_numeric_increased_prices_have_allowed_us_to_launch_a_new_product_or_service,trd_prc_pln_text_increased_prices_have_allowed_us_to_launch_a_new_product_or_service,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,1,0","NA,Increased prices have allowed us to launch a new product or service,Increased prices have created an opportunity for us to sell more in our domestic market"
trd_prc_pln_numeric_increased_prices_have_created_an_opportunity_for_us_to_sell_in_other_countries,trd_prc_pln_text_increased_prices_have_created_an_opportunity_for_us_to_sell_in_other_countries,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased prices have created an opportunity for us to sell in other countries"
trd_prc_pln_numeric_increased_prices_have_created_an_opportunity_for_us_to_sell_more_in_our_domestic_market,trd_prc_pln_text_increased_prices_have_created_an_opportunity_for_us_to_sell_more_in_our_domestic_market,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased prices have created an opportunity for us to sell more in our domestic market,Increased prices have allowed us to launch a new product or service"
trd_prc_pln_numeric_increased_prices_have_forced_us_to_find_new_customers,trd_prc_pln_text_increased_prices_have_forced_us_to_find_new_customers,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased prices have forced us to find new customers,Increased costs have forced us to find new suppliers"
trd_prc_pln_numeric_increased_prices_have_not_effect_our_plans,trd_prc_pln_text_increased_prices_have_not_effect_our_plans,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,0,1","NA,Increased prices have not effect our plans,Increased costs have created a need for us to sell in other countries"
trd_prc_pln_numeric_increased_prices_have_prevented_us_from_launching_a_new_product_or_service,trd_prc_pln_text_increased_prices_have_prevented_us_from_launching_a_new_product_or_service,Has your business experienced any of the following in the past 6 months related to your business's plans to sell goods or services? (Select all that apply),checkbox,"NA,1,0","NA,Increased prices have prevented us from launching a new product or service,Increased costs have created a need for us to sell more in our domestic market"
trd_yrs_numeric,trd_yrs_text,How many years has your business been operating? ,radio,"NA,4,2,1,3","NA,5 or more years,1-3 years,Less than 1 year,3-5 years"
